player.jumperNumber,player.photoURL,player.player.player.playerId,player.playerJumperNumber,team,position,dateOfBirth,draftYear,heightInCm,recruitedFrom,debutYear,draftType,draftPosition,PositionCoded,ID,First.name,Surname,Games,Goals,Brownlow.Votes,name,,,
11,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/296355.png,CD_I296355,11,North Melbourne,MEDIUM_DEFENDER,09/02/1995,2013,189,Kew Comets (Vic)/Oakleigh U18/Werribee (VFL),2014,fatherSon,8,Defender,12246,Luke,McDonald,218,18,,Luke McDonald,,,
13,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998659.png,CD_I998659,13,Fremantle,MEDIUM_DEFENDER,06/02/1996,2016,186,Moonee Valley (Vic)/Calder U18/Maribyrnong Park/Coburg (VFL),2018,nationalDraft,66,Defender,12542,Luke,Ryan,179,3,,Luke Ryan,,,
1,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017396.png,CD_I1017396,1,Gold Coast SUNS,KEY_DEFENDER,04/12/2003,2021,202,"Berwick (Vic)/St Joseph's School, Ferntree Gully (Vic)/Dand U18",2024,nationalDraft,5,Defender,13019,Mac,Andrew,65,12,,Mac Andrew,,,
48,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1013974.png,CD_I1013974,48,Adelaide Crows,KEY_DEFENDER,17/03/2000,2018,194,County Cork (Ireland)/Collingwood,2020,other,,Defender,12809,Mark,Keane,56,0,,Mark Keane,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1007102.png,CD_I1007102,42,Geelong Cats,MEDIUM_DEFENDER,17/01/1997,2016,189,County Kerry (Ireland),2018,other,,Defender,12531,Mark,OConnor,148,10,,Mark O'Connor,,,
27,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/997078.png,CD_I997078,27,Essendon,MEDIUM_DEFENDER,26/08/1997,2015,187,Millicent (SA)/Glenelg (SANFL),2017,nationalDraft,30,Defender,12437,Mason,Redman,143,24,,Mason Redman,,,
34,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1012210.png,CD_I1012210,34,Sydney Swans,MEDIUM_DEFENDER,31/07/2003,2021,184,Langhorne Creek (SA)/St Peter's Coll (SA)/South Adelaide (SANFL),2022,nationalDraft,34,Defender,12612,Matt,Roberts,48,4,,Matt Roberts,,,
16,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015370.png,CD_I1015370,16,Adelaide Crows,MEDIUM_DEFENDER,26/02/2004,2022,190,Glenunga (SA)/Norwood (SANFL),2023,fatherSon,17,Defender,13027,Max,Michalanney,66,4,,Max Michalanney,,,
14,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009191.png,CD_I1009191,14,Port Adelaide,MEDIUM_DEFENDER,18/10/2001,2019,190,Hampton Rovers (Vic)/St Bede's College (Vic)/Sandringham U18,2021,nationalDraft,14,Defender,12867,Miles,Bergman,102,26,,Miles Bergman,,,
22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/281065.png,CD_I281065,22,Geelong Cats,MEDIUM_DEFENDER,10/06/1991,2009,188,Carine (WA)/East Perth (WAFL),2010,nationalDraft,28,Defender,11798,Mitch,Duncan,305,185,,Mitch Duncan,,,
11,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/297255.png,CD_I297255,11,Carlton,MEDIUM_DEFENDER,11/10/1994,2014,190,North Albany (WA)/Claremont (WAFL)/Adelaide,2016,nationalDraft,43,Defender,12636,Mitch,McGovern,145,120,,Mitch McGovern,,,
20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004863.png,CD_I1004863,20,Adelaide Crows,MEDIUM_DEFENDER,28/06/1998,2020,187,Mundulla (SA)/Glenelg (SANFL)/Brisbane,2021,other,,Defender,12948,Mitch,Hinge,89,8,,Mitch Hinge,,,
7,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015507.png,CD_I1015507,7,St Kilda,MEDIUM_DEFENDER,22/02/2003,2021,187,Marion (SA)/Glenelg (SANFL),2022,nationalDraft,11,Defender,12950,Nasiah,Wanganeen-Milera,86,23,,Nasiah Wanganeen-Milera,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/295203.png,CD_I295203,35,Richmond,MEDIUM_DEFENDER,15/04/1993,2015,192,Upper Swan (WA)/Swan Districts (WAFL),2016,nationalDraft,67,Defender,12456,Nathan,Broad,170,4,,Nathan Broad,,,
22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1006028.png,CD_I1006028,22,Sydney Swans,MEDIUM_DEFENDER,27/02/2000,2018,196,University of NSW-Eastern Suburbs (NSW),2019,nationalDraft,10,Defender,12899,Nick,Blakey,151,49,,Nick Blakey,,,
17,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005717.png,CD_I1005717,17,Western Bulldogs,MEDIUM_DEFENDER,23/10/1999,2017,191,Eltham (Vic)/Northern U18/St Kilda,2018,nationalDraft,8,Defender,12943,Nick,Coffield,64,2,,Nick Coffield,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/295265.png,CD_I295265,26,Carlton,MEDIUM_DEFENDER,18/05/1992,2011,192,Frankston Bombers (Vic)/Dandenong U18,2012,nationalDraft,7,Defender,12307,Nick,Haynes,234,13,,Nick Haynes,,,
9,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1008230.png,CD_I1008230,9,Adelaide Crows,KEY_DEFENDER,18/12/2000,2020,195,Wangaratta Rovers/Adelaide (SANFL),2021,preseason,,Defender,12872,Nick,Murray,67,1,,Nick Murray,,,
1,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294674.png,CD_I294674,1,Richmond,MEDIUM_DEFENDER,19/04/1994,2012,187,Eltham (Vic)/Northern U18,2013,nationalDraft,9,Defender,12174,Nick,Vlastuin,255,29,,Nick Vlastuin,,,
43,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005053.png,CD_I1005053,43,Brisbane Lions,MEDIUM_DEFENDER,06/08/1999,2018,182,Caulfield (Vic)/Oakleigh U18,2020,nationalDraft,55,Defender,12718,Noah,Answerth,88,3,,Noah Answerth,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1002245.png,CD_I1002245,21,Richmond,KEY_DEFENDER,23/10/1999,2017,194,Essendon Doutta Stars (Vic)/Calder U18,2019,nationalDraft,25,Defender,12686,Noah,Balta,117,41,,Noah Balta,,,
34,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024982.png,CD_I1024982,34,Geelong Cats,MEDIUM_DEFENDER,11/02/2000,2021,182,County Mayo (Ireland),2024,other,,Defender,13066,Oisin,Mullin,44,3,,Oisin Mullin,,,
37,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/298358.png,CD_I298358,37,Collingwood,MEDIUM_DEFENDER,08/05/1996,2024,188,Gepps Cross (SA)/North Adelaide (SANFL)/Richmond/Gold Coast,2016,rookieElevation,8,Defender,12459,Oleg,Markov,94,8,,Oleg Markov,,,
4,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023495.png,CD_I1023495,4,Carlton,MEDIUM_DEFENDER,16/01/2004,2022,184,Wodonga (Vic)/Geelong Grammar (Vic)/Murray U18,2023,nationalDraft,11,Defender,13029,Oliver,Hollands,65,11,,Oliver Hollands,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/992472.png,CD_I992472,21,Fremantle,KEY_DEFENDER,18/03/1996,2014,196,Edenhope-Apsley (Vic)/North Ballarat U18/Melbourne/Williamstown,2016,nationalDraft,53,Defender,12394,Oscar,McDonald,94,7,,Oscar McDonald,,,
32,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294472.png,CD_I294472,32,Port Adelaide,MEDIUM_DEFENDER,12/07/1994,2012,185,Maribyrnong Park (Vic)/Calder U18/Adelaide/Gold Coast SUNS,2015,nationalDraft,81,Defender,12381,Rory,Atkins,141,52,,Rory Atkins,,,
29,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/293222.png,CD_I293222,29,Adelaide Crows,MEDIUM_DEFENDER,29/12/1993,2013,178,Kenilworth (SA)/West Adelaide (SANFL),2013,rookieElevation,86,Defender,12165,Rory,Laird,269,31,,Rory Laird,,,
7,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/990740.png,CD_I990740,7,Western Bulldogs,KEY_DEFENDER,09/02/1993,2013,207,Bassendean (WA)/Swan Districts (WAFL)/GWS/Fremantle,2016,nationalDraft,29,Defender,12282,Rory,Lobb,199,175,,Rory Lobb,,,
3,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/992128.png,CD_I992128,3,Port Adelaide,MEDIUM_DEFENDER,31/01/1997,,191,,,,,Defender,12477,Ryan,Burton,162,25,,Ryan Burton,,,
43,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/997501.png,CD_I997501,43,Western Bulldogs,KEY_DEFENDER,01/06/1997,2015,197,Burnie Dockers (Tas)/Geelong List/Footscray (VFL),2020,nationalDraft,59,Defender,12732,Ryan,Gardner,54,3,,Ryan Gardner,,,
35,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/291548.png,CD_I291548,35,Brisbane Lions,MEDIUM_DEFENDER,26/08/1992,2022,190,Mulgrave (Vic)/Oakleigh U18,2011,rookieElevation,15,Defender,11894,Ryan,Lester,234,48,,Ryan Lester,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/295446.png,CD_I295446,25,Gold Coast SUNS,KEY_DEFENDER,15/06/1994,2015,194,Donvale (Vic)/Oakleigh U18/Box Hill (VFL)/Frem/Werribee (VFL),2016,nationalDraft,55,Defender,12444,Sam,Collins,149,0,,Sam Collins,,,
16,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009229.png,CD_I1009229,16,Geelong Cats,KEY_DEFENDER,26/02/2001,2019,204,Mornington (Vic)/Dandenong U18,2021,nationalDraft,19,Defender,12891,Sam,De Koning,86,7,,Sam De Koning,,,
8,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/293738.png,CD_I293738,8,Hawthorn,KEY_DEFENDER,28/08/1993,2012,194,Ormond (Vic)/Wesley College (Vic)/Sandr U18/GWS/Melbourne,2012,rookieElevation,83,Defender,12119,Sam,Frost,185,9,,Sam Frost,,,
15,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005247.png,CD_I1005247,15,GWS GIANTS,KEY_DEFENDER,05/05/1999,2017,198,Upper Swan (WA)/Guilford Grammar (WA)/Swan Dists (WAFL),2019,nationalDraft,28,Defender,12644,Sam,Taylor,131,2,,Sam Taylor,,,
15,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1006232.png,CD_I1006232,15,Sydney Swans,MEDIUM_DEFENDER,14/09/1999,2018,181,Manly-Warringah (NSW)/Sydney (NEAFL),2019,other,,Defender,12818,Sam,Wicks,87,44,,Sam Wicks,,,
1,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/281085.png,CD_I281085,1,Melbourne,KEY_DEFENDER,10/01/1992,2010,193,Southern Districts (NT)/Melbourne Grammar (Vic)/NT U18/GCS,2012,zone,,Defender,11940,Steven,May,251,24,,Steven May,,,
15,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/290085.png,CD_I290085,15,Western Bulldogs,MEDIUM_DEFENDER,24/04/1991,2023,181,Wahgunyah (Vic)/Caulfield Grammar (Vic)/Murray U18/Hawthorn,2013,rookieElevation,21,Defender,12163,Taylor,Duryea,219,25,,Taylor Duryea,,,
37,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/990290.png,CD_I990290,37,Hawthorn,KEY_DEFENDER,08/10/1995,2013,197,Scarborough (WA)/Claremont (WAFL)/West Coast Eagles,2016,nationalDraft,43,Defender,13205,Tom,Barrass,175,1,,Tom Barrass,,,
28,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/993820.png,CD_I993820,28,West Coast Eagles,MEDIUM_DEFENDER,28/05/1997,2015,188,Sandhurst (Vic)/Bendigo U18,2016,nationalDraft,36,Defender,12583,Tom,Cole,131,5,,Tom Cole,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1008198.png,CD_I1008198,30,Sydney Swans,KEY_DEFENDER,30/12/1999,2017,194,"St Joseph's, Geel (Vic)/St Joseph's Coll, Geel (Vic)/Geel Gram (Vic)/Geel U18",2020,nationalDraft,33,Defender,12009,Tom,McCartin,152,31,,Tom McCartin,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/291533.png,CD_I291533,25,Melbourne,KEY_DEFENDER,18/09/1992,2010,195,Edenhope-Apsley (Vic)/North Ballarat U18,2011,nationalDraft,53,Defender,12196,Tom,McDonald,249,170,,Tom McDonald,,,
44,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/291800.png,CD_I291800,44,Geelong Cats,MEDIUM_DEFENDER,15/03/1993,2016,190,South Barwon (Vic)/Geelong U18/Geelong (VFL),2017,nationalDraft,40,Defender,12505,Tom,Stewart,191,6,,Tom Stewart,,,
24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009378.png,CD_I1009378,24,Melbourne,MEDIUM_DEFENDER,30/07/2001,2019,188,Willetton (WA)/East Fremantle (WAFL),2021,nationalDraft,32,Defender,12778,Trent,Rivers,123,13,,Trent Rivers,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/990882.png,CD_I990882,30,Adelaide Crows,MEDIUM_DEFENDER,14/09/1997,2015,185,Ingle Farm (SA)/Central District (SANFL),2016,nationalDraft,11,Defender,12405,Wayne,Milera,123,31,,Wayne Milera,,,
15,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1012873.png,CD_I1012873,15,Collingwood,MEDIUM_DEFENDER,29/05/2002,2023,180,East Ringwood FC/Norwood SC,2025,other,,Defender,13147,Wil,Parker,9,1,,Wil Parker,,,
27,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1007881.png,CD_I1007881,27,Gold Coast SUNS,MEDIUM_DEFENDER,26/08/1999,2017,188,Scarborough (WA)/Claremont (WAFL),2019,nationalDraft,19,Defender,12652,Wil,Powell,130,16,,Wil Powell,,,
39,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004870.png,CD_I1004870,39,Geelong Cats,MEDIUM_DEFENDER,30/06/1998,2016,188,Sunbury (Vic)/Calder U18,2017,rookieElevation,33,Defender,12551,Zach,Guthrie,129,15,,Zach Guthrie,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/991939.png,CD_I991939,21,St Kilda,KEY_DEFENDER,27/10/1996,2014,195,Ocean Grove (Vic)/Geelong College (Vic)/Geelong U18/Wstrn Bldgs,2015,fatherSon,62,Defender,12392,Zaine,Cordy,141,21,,Zaine Cordy,,,
20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1001017.png,CD_I1001017,20,North Melbourne,KEY_FORWARD,06/06/1998,2016,198,Hawthorn Citizens (Vic)/Oakleigh U18,2017,nationalDraft,73,Forward,13236,Nick,Larkey,134,278,19,Nick Larkey,,,
12,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1004095.png,CD_I1004095,12,Port Adelaide,KEY_FORWARD,09/08/2000,2018,195,Henley (SA)/Woodville-West Torrens (SANFL)/Gold Coast SUNS,2019,nationalDraft,2,Forward,12704,Jack,Lukosius,123,87,15,Jack Lukosius,,,
44,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998484.png,CD_I998484,44,North Melbourne,MEDIUM_FORWARD,22/05/1998,2016,190,Melville (WA)/East Fremantle (WAFL),2017,rookieElevation,11,Forward,12557,Cameron,Zurhaar,143,200,14,Cameron Zurhaar,,,
6,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/294643.png,CD_I294643,6,Gold Coast SUNS,MEDIUM_FORWARD,03/12/1993,2011,186,Springwood (Qld)/Redland (NEAFL),2012,zone,88,Forward,12080,Alex,Sexton,186,164,3,Alex Sexton,,,
20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1006030.png,CD_I1006030,20,Richmond,KEY_FORWARD,11/07/2000,,196,,,,,Forward,12859,Jacob,Koschitzke,64,66,3,Jacob Koschitzke,,,
23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1005988.png,CD_I1005988,23,St Kilda,MEDIUM_FORWARD,28/08/2001,2019,180,Cottesloe (WA)/Christ Church Grammar (WA)/Claremont (WAFL)/Fremantle,2021,nationalDraft,9,Forward,12831,Liam,Henry,61,22,3,Liam Henry,,,
40,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020855.png,CD_I1020855,40,St Kilda,MEDIUM_FORWARD,15/04/2002,2024,183,Montrose FC/Eastern U18/Box Hill (VFL),2025,other,4,Forward,13193,Max,Hall,23,23,1,Max Hall,,,
16,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/999827.png,CD_I999827,16,North Melbourne,MEDIUM_FORWARD,15/06/1998,2016,175,York Roos (WA)/Guildford (WA)/Perth (WAFL)/Carlton,2017,nationalDraft,27,Forward,12520,Zac,Fisher,132,55,1,Zac Fisher,,,
42,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024173.png,CD_I1024173,42,Melbourne,KEY_FORWARD,09/03/2000,2024,193,Lavington Panthers FNC/Werribee (VFL),2025,nationalDraft,68,Forward,13183,Aidan,Johnson,5,3,0,Aidan Johnson,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027011.png,CD_I1027011,30,St Kilda,KEY_FORWARD,15/06/2006,2024,203,Payneham NU JFC/Sturt (SANFL),,nationalDraft,53,Forward,13266,Alex,Dodson,1,0,0,Alex Dodson,,,
44,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1029265.png,CD_I1029265,44,Essendon,MEDIUM_FORWARD,13/05/2006,2024,186,Palmerston Magpies/Oakleigh U18,,rookieElevation,6,Forward,13223,Archer,Day-Wicks,5,1,0,Archer Day-Wicks,,,
26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1029084.png,CD_I1029084,26,Essendon,KEY_FORWARD,27/08/2004,2025,198,Subiaco (WAFL)/Richmond (VFL),,other,6,Forward,13196,Archie,May,7,7,0,Archie May,,,
22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027693.png,CD_I1027693,22,West Coast Eagles,KEY_FORWARD,19/09/2005,2023,203,West Gippsland Football Netball (Vic)/Gippsland Power U18,2025,nationalDraft,30,Forward,13238,Archer,Reid,14,5,0,Archer Reid,,,
43,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020097.png,CD_I1020097,43,Carlton,MEDIUM_FORWARD,15/04/2005,2023,188,Plympton Junior Football Club (SA)/Glenelg (SANFL),,nationalDraft,29,Forward,13171,Ashton,Moir,11,12,0,Ashton Moir,,,
8,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1017088.png,CD_I1017088,8,Essendon,MEDIUM_FORWARD,16/09/2003,2021,183,Horsham Demons (Vic)/Ballarat Clarendon College (Vic)/GWV U18,2022,nationalDraft,13,Forward,12970,Ben,Hobbs,65,21,0,Ben Hobbs,,,
24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/998782.png,CD_I998782,24,Western Bulldogs,KEY_FORWARD,24/03/2000,2018,191,St Albans (Vic)/Maribyrnong College (Vic)/Western U18,2021,other,,Forward,12900,Buku,Khamis,41,20,0,Buku Khamis,,,
33,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1024057.png,CD_I1024057,33,Sydney Swans,MEDIUM_FORWARD,05/03/2005,2023,182,Newtown Swans JAFC (NSW)/Sydney University (NSW),,nationalDraft,24,Forward,13157,Caiden,Cleary,17,3,0,Caiden Cleary,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1011589.png,CD_I1011589,25,Western Bulldogs,MEDIUM_FORWARD,12/10/2002,,194,,,,,Forward,12895,Caleb,Poulter,35,10,0,Caleb Poulter,,,
29,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027382.png,CD_I1027382,29,Collingwood,KEY_FORWARD,01/02/2006,2024,194,Henley FC Juniors/Woodville-West Torrens (SANFL),,nationalDraft,50,Forward,13246,Charlie,West,1,1,0,Charlie West,,,
21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1000068.png,CD_I1000068,21,Adelaide Crows,KEY_FORWARD,26/11/1995,2024,193,Flinders Park (SA)/West Adelaide (SANFL)/Gold Coast Suns,2019,rookieElevation,16,Forward,12705,Chris,Burgess,44,21,0,Chris Burgess,,,
29,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1032619.png,CD_I1032619,29,GWS GIANTS,MEDIUM_FORWARD,28/05/2006,2024,182,Scarborough JFC/Claremont (WAFL),2025,nationalDraft,24,Forward,13226,Cody,Angove,4,1,0,Cody Angove,,,
37,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020979.png,CD_I1020979,37,North Melbourne,MEDIUM_FORWARD,12/07/2004,2022,180,Yarrambat (Vic)/Assumption College (Vic)/Northern U18,,fatherSon,56,Forward,13077,Cooper,Harvey,10,11,0,Cooper Harvey,,,
6,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1029456.png,CD_I1029456,6,Western Bulldogs,MEDIUM_FORWARD,28/02/2006,2024,190,Bonbeach YCW JFC/Dandenong U18,,nationalDraft,20,Forward,13213,Cooper,Hynes,8,4,0,Cooper Hynes,,,
47,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1031988.png,CD_I1031988,47,North Melbourne,KEY_FORWARD,17/10/2005,2025,193,Blackburn/North Melbourne (VFL),,other,10,Forward,13263,Cooper,Trembath,3,9,0,Cooper Trembath,,,
39,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1031792.png,CD_I1031792,39,North Melbourne,KEY_FORWARD,18/07/2003,2025,197,Eltham (Vic)/Northern Bullants (VFL)/North Melbourne,,other,,Forward,13219,Finnbar,Maley,7,4,0,Finnbar Maley,,,
45,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1020877.png,CD_I1020877,45,Carlton,MEDIUM_FORWARD,03/02/2002,2025,181,Werribee (VFL)/Carlton (VFL),,other,4,Forward,13245,Flynn,Young,8,5,0,Flynn Young,,,
23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1027726.png,CD_I1027726,23,North Melbourne,MEDIUM_FORWARD,06/11/2005,2024,184,North Launceston (TFL)/Tasmania U18,2025,other,1,Forward,13262,Geordie,Payne,3,3,0,Geordie Payne,,,
34,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028525.png,CD_I1028525,34,Richmond,KEY_FORWARD,14/06/2006,2024,195,Ormond JFC/Sandringham U18,2025,nationalDraft,23,Forward,12015,Harry,Armstrong,8,6,0,Harry Armstrong,,,
30,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1007099.png,CD_I1007099,30,Melbourne,MEDIUM_FORWARD,17/12/2002,2020,182,East Point (Vic)/St Patrick's Coll (Vic)/Caulfield Gram (Vic)/GWV U18/Brisbane Lions,2021,nationalDraft,43,Forward,12864,Harry,Sharp,34,12,0,Harry Sharp,,,
25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1016189.png,CD_I1016189,25,Brisbane Lions,KEY_FORWARD,24/09/2002,2020,202,Blackwood (SA)/Woodville-West Torrens (SANFL),2024,nationalDraft,48,Forward,13166,Henry,Smith,6,4,0,Henry Smith,,,
40,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1023489.png,CD_I1023489,40,Carlton,KEY_FORWARD,16/12/2004,2022,202,Camberwell (Vic)/ Camberwell High (Vic)/Oakleigh U18,,preseason,,Forward,13233,Hudson,OKeeffe,5,3,0,Hudson O'Keeffe,,,
10,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1028554.png,CD_I1028554,10,Essendon,MEDIUM_FORWARD,07/03/2006,2024,176,Northern Saints/Calder U18,2025,nationalDraft,13,Forward,13177,Isaac,Kako,23,15,0,Isaac Kako,,,
17,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1015323.png,CD_I1015323,17,St Kilda,KEY_FORWARD,23/04/2004,2022,198,South Augusta (SA)/North Adelaide (SANFL),2025,nationalDraft,44,Forward,13201,Isaac,Keeler,11,10,0,Isaac Keeler,,,
39,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1009392.png,CD_I1009392,39,Sydney Swans,KEY_FORWARD,16/05/2001,2023,199,Cottesloe (WA)/Scotch College (WA)/Claremont (WAFL)/Sydney Swans,,other,13,Forward,13071,Jack,Buller,10,11,0,Jack Buller,,,
43,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2025014/1008183.png,CD_I1008183,43,Melbourne,MEDIUM_FORWARD,01/10/1999,2024,177,Werribee (VFL),,preseason,,Forward,13181,Jack,Henderson,5,2,0,Jack Henderson,,,
